title,date,question,doctor,answer,url
코 알레르기 때문에 목이 아플 수 있나요??,2020.01.04,"왼쪽 목이 혀뒤안쪽끝?은 약간 부은 거 같고 그냥 목이 약간 아프기도 하니까 뭔가 염증이 있나? 싶어서 몇번 이비인후과 갔어요(같은 증상으로) 근데 맨날 갈때마다 목엔 별게 없대요ㅠㅠ.. 목을 짧게 보시는데 다른데 보시더니 코에 알레르기가 심한건지 뭔지 뭐가 부어있대요.. 근데 전 목이 아파서 그 병원을 여러번 갔는데
1. 목에는 별게 없음 물 많이 마시고 밥 먹고 눕지 마라
2. 목이 첨엔 약간 부어있었는데 그것도 가라앉음
3. 코 안이 많이 부어있음
4. 전에 혀뒤쪽에 이물감 느껴진다고 가서 좀 자세히 봐주셨는데 그때도 아무것도 없다고 하심

근데 코가 알레르기로 부었는데 목이 아플 수가 있나요???

매번 목부터 봐주시기는 하는데 전 목이 아픈데 자구 코 얘기만 하셔서요ㅠㅠ 신체화증상으로 병원 간적 다수 있긴한데요..ㅠㅠㅠ.. 뭐 다른 병원을 또가야하는지 3달 동안 이비인후과 한 2~3번 간건데요

목은 원래 건조한편이에요 특히 왼쪽이 그리고 역류성인후염 있었어요 답변 부탁드립니다ㅠㅠㅠ",손원진 [한의사],"안녕하세요. 하이닥 한방과 상담의 손원진입니다.

1. 목구멍이 건조한 경우 작은 온도 변화나 먼지, 그리고 자극에도 목구멍이 따갑기 쉬운 편입니다.
목구멍이 건조하다고 느끼는 것이 약하다는 증상입니다.
2. 목이 건조하면 역류성 인후염 같은 목구멍 증상도 쉽게 올 수 있습니다.
3. 코가 알러지로 부어 있으면.. 콧물이 뒤로 역류하면서 목구멍을 자극할 수도 있습니다. 검사하는 시점에서는 코가 안보일 수도 있구요..

목구멍이 건조한 것을 (목구멍이 약해진 것을) 보강해줄 필요가 있어 보입니다..
비유를 들자면.. 집안에 습기가 많고 환기가 잘 안되면.. 눅눅한 냄새가 나다가... 오래되면.. 곰팡이가 자라게 됩니다. 현재 목구멍이 건조해서 (약해서..) 인후염이 (곰팡이에 비유) 오락 가락 하는 상태로 볼 수 있습니다.
좋은 한의원 치료도 권해 봅니다.

참고하시길 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000490088
마늘 양파에 알레르기 2등급인데요,2019.12.31,"마늘즙 먹으면 안될까요
가슴답답한 증상이 있어서요 심장촘파 복부촘파 심전도 엑스레이 다했었구요
근데 알레르기 검사는 혹시 몇등급 이상일때 먹으면 안되나요",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

딱 정해진 것은 없어요.
알러지 검사에서는 나왔지만 임상적으로 의미가 없는 경우도 있고 그 반대의 경우도 있어요.
알러지로 나온 음식을 피하고 임상적인 증상의 호전이 있으면 연관이 있다고 봅니다.
어떤 이유로 검사를 하게 되셨는지요? 그리고 혹시 무슨 이유로 마늘즙을 드시려고 하는지 궁금합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000489571
이게 알러지인가요?,2019.12.21,어제 새벽 2시쯤 만두랑 번데기랑 김치찜에 술을먹고 있는데 갑자기 몸이 간지러워서 몸을 보니까 모기에 물린것처럼 빨갛고 한게 몇개 몸에 나와있더라고여 그래서 술을 안먹고 집에왔는데 한숨자고 일어나니까 빨갛고 나와있는건 거의다 사라졌는데 지금까지도 계속 간지러운데 병원가봐야되나요? 알레르기 증상인가요?,강기원 [한의사],"안녕하세요. 하이닥 한방과 상담의 강기원입니다.

평소 특별한 질환이 없었다면 알콜, 음식이나 여타 외부요인에 따른 일시적 알러지 반응일 가능성이 높습니다.
간지럼이 불편하시면 피부과 진료 받아보시기 바랍니다.
만약 지속적으로 증상이 반복된다면 그때 피부과 진료를 받아보셔도 늦진 않을것 같습니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000488490
피부 전체적으로 가렵습니다 음식 알레르기 인가여??,2019.12.20,피부 두드러기 나고 빨간건 많이 가라앉았는데 지금까지 아직도 전체적으로 가렵습니다 음식 알레르기 인가여??,홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

증상이 오래가거나 자꾸 반복되면 음식일 가능성도 있어요 .
의심되면 알러지 검사가 필요합니다 .
지금은 호전되고 있는 중이라고 생각합니다 .",https://www.hidoc.co.kr/healthqna/part/view/C0000488407
음식 알레르기 인가요?,2019.12.20,술먹다가 안주 여러가지 먹었는데 갑자기 간지러우면서 몸 보니까 빨갛게 모기물린것처럼 몇개가 올라와 있더라고여 다리도 간지럽고 몸도 간지럽고 머리도 간지럽고 귀 뒤도 간지럽고 배도아파서 설사도 2번이나 했습니다 알레르기일까요?,홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

많이 괴로우셨겠네요
여러가지 가능성을 고려 해볼 수 있는데요
음식물 알레르기일 가능성이 높아요
반복적으로 피부병변이 생기는 경우가 아니라면 원인을 찾기는 힘든 경우가 많습니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000488354
"포도섭취 후 어지러움 및 두통, 관절 쑤심",2019.12.19,"포도류를 섭취하면 어느샌가부터 어지러움과 두통 관절이 쑤시는데요.
학생시절엔 느끼지 못하다 성인이 되고나서부터 포도류를 섭취하면 증상이 생겼습니다.
알르레기인가요?.",박종원 [전문의],"안녕하세요. 하이닥 신경과 상담의 박종원입니다.

포도의 tyramine 이라는 성분이 혈압을 올리고 알러지 반응을 일으켜서
두통이나 구역반응을 일으킬 수 있다고 되어 있습니다.
다만 확인할 수 있는 방법은 없습니다.
두통의 유발요인들은 단독적으로 두통을 일으키기는 어렵습니다.
기질적으로 두통의 호발할 수 있는 상태는 뒷목의 경직입니다.
가까운 통증관련 병원에서 뒷목과 등의 검사를 해보고 이상여부에 따라
물리치료 등을 포함한 이완요법을 해 보는 것이 도움이 될 것입니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000488246
알레르기 약,2019.12.09,"알레르기 검사결과 가리온정10mg 하루두번 먹고있는데요,몸이 크게 알레르기 증상이 없는데 검사결과로 약 복용해야하나요?
안과에서 눈때문에 갔다가 이런저런 피검사로 안좋다고 하네요!",홍인표 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 홍인표입니다.

여러가지 알레르기 유발 물질에 대한 반응이 있는 것으로 나타났습니다
임상증상과 관련 여부를 맞춰보아야 합니다
지금 약을 드시고 있어서 증상이 없는 것은 아닐까요?
몸에는 증상이 없어도 눈이나 코로 증상이 나타나기도 합니다",https://www.hidoc.co.kr/healthqna/part/view/C0000486972
갑각류 알래르기인건가요?,2019.12.04,"고등학생때까지만해도 안그랬는데
성인이되고 나서 새우튀김이나 게장같은걸먹으면
목이 심한 목감기가 걸린거처럼 부으는느낌?이
들거나 입가주변에 두드러기같은게 생깁니다
갑각류를 먹고나서 생긴다는걸 안뒤로 안먹지만
이게 갑각류알래르기가 맞나요?",김태균 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 김태균입니다.

말씀하신 증상으로 보았을때는 갑각류 알레르기와 유사해 보입니다.
알레르기의 가장 좋은 치료는 유발 원인을 피하는 것입니다.
잘 조절하시기 바랍니다.
감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000486323
갑각류 알래르기인건가요?,2019.12.04,"고등학생때까지만해도 안그랬는데
성인이되고 나서 새우튀김이나 게장같은걸먹으면
목이 심한 목감기가 걸린거처럼 부으는느낌?이
들거나 입가주변에 두드러기같은게 생깁니다
갑각류를 먹고나서 생긴다는걸 안뒤로 안먹지만
이게 갑각류알래르기가 맞나요?",김태균 [전문의],"안녕하세요. 하이닥 가정의학과 상담의 김태균입니다.

말씀하신 증상으로 보았을때는 갑각류 알레르기와 유사해 보입니다.
알레르기의 가장 좋은 치료는 유발 원인을 피하는 것입니다.
잘 조절하시기 바랍니다.
감사합니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000486323
코 알러지 (콧물),2019.12.02,"안녕하세요. 먼지, 기온 변화가있을 때마다 알러지가 좀 심해지는데요. 오늘 이상하게 콧물이 계속 나와서 질문 드려요. 인터넷에 찾아봤는데 몸 안에 Dampness가 있다고 하는데 알러지 관리하는데 어디서 검사 받고 어떻게 관리 해야하죠?",윤병기 [전문의],"안녕하세요. 하이닥 이비인후과 상담의 윤병기입니다.

요즘처럼 기온차가 심한 날씨에는, 이비인후과를 찾는 콧물 코막힘 환자들이 매우 많습니다.
이럴 때 말씀하시는 증상들이 아마 더 심해지시는 듯 한데요, 몸안에 dampness 가 있다는 말이 우선 무슨 의미인지,
저도 궁금하네요. 만약 내 몸에 알러지 유무가 궁금해서 검사를 해보고 싶으시다면, 요즘은 등에다가 알러지 균을 도포하여 하는 검사(피부반응검사), 그리고, 피검사로하는 알러지 검사, 크게 이 두가지가 있습니다.
편하게 코 안도 확인하시면서, 검사도 받기에는 이비인후과로 가시면 진료 및 검사 한번에 가능합니다.
관리는 검사의 양성 음성 유무에 따라서, 그리고 양성이라면 그 결과에 따라서 환경관리를 해야하느냐, 균주를 회피해야 하느냐, 아니면 약물치료를 병행해야 하느냐 달라지니, 검사 받으신 후 이비인후과 전문의 선생님께 상담 받으시기 바랍니다.",https://www.hidoc.co.kr/healthqna/part/view/C0000486043
